dataset,model_size,layer,similarity
imdb,base,0,0.99905103
imdb,base,1,0.99158615
imdb,base,2,0.9769135
imdb,base,3,0.9619216
imdb,base,4,0.93984324
imdb,base,5,0.89973193
imdb,base,6,0.86761063
imdb,base,7,0.8364253
imdb,base,8,0.80576086
imdb,base,9,0.75117356
imdb,base,10,0.7041238
imdb,base,11,0.65390664
imdb,base,12,0.4943802
imdb,medium,0,0.99887794
imdb,medium,1,0.98859674
imdb,medium,2,0.97019416
imdb,medium,3,0.93958986
imdb,medium,4,0.89150566
imdb,medium,5,0.85045636
imdb,medium,6,0.8032412
imdb,medium,7,0.75624305
imdb,medium,8,0.51831543
imdb,small,0,0.99864095
imdb,small,1,0.9771208
imdb,small,2,0.9139
imdb,small,3,0.82852906
imdb,small,4,0.7123376
imdb,tiny,0,0.9963952
imdb,tiny,1,0.9696051
imdb,tiny,2,0.90195453
spotify,base,0,0.99926585
spotify,base,1,0.9906519
spotify,base,2,0.9706377
spotify,base,3,0.9554143
spotify,base,4,0.93175507
spotify,base,5,0.90351844
spotify,base,6,0.8732751
spotify,base,7,0.84723
spotify,base,8,0.8218561
spotify,base,9,0.7569677
spotify,base,10,0.70423573
spotify,base,11,0.6812625
spotify,base,12,0.50643224
spotify,medium,0,0.9987667
spotify,medium,1,0.98248196
spotify,medium,2,0.9615729
spotify,medium,3,0.93228656
spotify,medium,4,0.8875378
spotify,medium,5,0.8466487
spotify,medium,6,0.7964878
spotify,medium,7,0.71630085
spotify,medium,8,0.4929001
spotify,small,0,0.99824387
spotify,small,1,0.968901
spotify,small,2,0.90611285
spotify,small,3,0.83123213
spotify,small,4,0.65964186
spotify,tiny,0,0.99563617
spotify,tiny,1,0.94206387
spotify,tiny,2,0.76842034
news,base,0,0.9992718
news,base,1,0.9914826
news,base,2,0.97097117
news,base,3,0.96218485
news,base,4,0.9487258
news,base,5,0.92755914
news,base,6,0.9039478
news,base,7,0.8728783
news,base,8,0.841177
news,base,9,0.78933936
news,base,10,0.6925184
news,base,11,0.56450564
news,base,12,0.275102
news,medium,0,0.9991041
news,medium,1,0.983274
news,medium,2,0.95892906
news,medium,3,0.9257637
news,medium,4,0.8868608
news,medium,5,0.85618186
news,medium,6,0.7870198
news,medium,7,0.61316913
news,medium,8,0.26846156
news,small,0,0.99886775
news,small,1,0.974115
news,small,2,0.8974237
news,small,3,0.77848035
news,small,4,0.35718223
news,tiny,0,0.9954015
news,tiny,1,0.894634
news,tiny,2,0.5272223
